suite,dimension,budget,function_id,problem,algorithm,dsc_rank,dsc_rank2
cec2022,10,200000,1,F1_10D,MSC-CMA,2.0,4
cec2022,10,200000,1,F1_10D,NEA2PLUS-PY,3.0,6
cec2022,10,200000,1,F1_10D,BIPOP-CMA,1.0,2
cec2022,10,200000,2,F2_10D,MSC-CMA,2.0,4
cec2022,10,200000,2,F2_10D,NEA2PLUS-PY,1.0,2
cec2022,10,200000,2,F2_10D,BIPOP-CMA,3.0,6
cec2022,10,200000,3,F3_10D,MSC-CMA,3.0,6
cec2022,10,200000,3,F3_10D,NEA2PLUS-PY,2.0,4
cec2022,10,200000,3,F3_10D,BIPOP-CMA,1.0,2
cec2022,10,200000,4,F4_10D,MSC-CMA,1.5,3
cec2022,10,200000,4,F4_10D,NEA2PLUS-PY,3.0,6
cec2022,10,200000,4,F4_10D,BIPOP-CMA,1.5,3
cec2022,10,200000,5,F5_10D,MSC-CMA,3.0,6
cec2022,10,200000,5,F5_10D,NEA2PLUS-PY,2.0,4
cec2022,10,200000,5,F5_10D,BIPOP-CMA,1.0,2
cec2022,10,200000,6,F6_10D,MSC-CMA,1.0,2
cec2022,10,200000,6,F6_10D,NEA2PLUS-PY,3.0,6
cec2022,10,200000,6,F6_10D,BIPOP-CMA,2.0,4
cec2022,10,200000,7,F7_10D,MSC-CMA,1.5,3
cec2022,10,200000,7,F7_10D,NEA2PLUS-PY,3.0,6
cec2022,10,200000,7,F7_10D,BIPOP-CMA,1.5,3
cec2022,10,200000,8,F8_10D,MSC-CMA,1.5,3
cec2022,10,200000,8,F8_10D,NEA2PLUS-PY,3.0,6
cec2022,10,200000,8,F8_10D,BIPOP-CMA,1.5,3
cec2022,10,200000,9,F9_10D,MSC-CMA,1.0,2
cec2022,10,200000,9,F9_10D,NEA2PLUS-PY,2.0,4
cec2022,10,200000,9,F9_10D,BIPOP-CMA,3.0,6
cec2022,10,200000,10,F10_10D,MSC-CMA,1.0,2
cec2022,10,200000,10,F10_10D,NEA2PLUS-PY,2.5,5
cec2022,10,200000,10,F10_10D,BIPOP-CMA,2.5,5
cec2022,10,200000,11,F11_10D,MSC-CMA,2.0,4
cec2022,10,200000,11,F11_10D,NEA2PLUS-PY,3.0,6
cec2022,10,200000,11,F11_10D,BIPOP-CMA,1.0,2
cec2022,10,200000,12,F12_10D,MSC-CMA,3.0,6
cec2022,10,200000,12,F12_10D,NEA2PLUS-PY,1.5,3
cec2022,10,200000,12,F12_10D,BIPOP-CMA,1.5,3
