suite,dimension,budget,function_id,problem,algorithm,dsc_rank,dsc_rank2
cec2022,10,1000000,1,F1_10D,ARRDE,4.0,8
cec2022,10,1000000,1,F1_10D,BIPOP-CMA,4.0,8
cec2022,10,1000000,1,F1_10D,LSRTDE,4.0,8
cec2022,10,1000000,1,F1_10D,MSC-CMA,4.0,8
cec2022,10,1000000,1,F1_10D,NLSHADE-RSP,4.0,8
cec2022,10,1000000,1,F1_10D,j2020,4.0,8
cec2022,10,1000000,1,F1_10D,jSO,4.0,8
cec2022,10,1000000,2,F2_10D,ARRDE,1.0,2
cec2022,10,1000000,2,F2_10D,BIPOP-CMA,6.0,12
cec2022,10,1000000,2,F2_10D,LSRTDE,7.0,14
cec2022,10,1000000,2,F2_10D,MSC-CMA,2.0,4
cec2022,10,1000000,2,F2_10D,NLSHADE-RSP,4.0,8
cec2022,10,1000000,2,F2_10D,j2020,3.0,6
cec2022,10,1000000,2,F2_10D,jSO,5.0,10
cec2022,10,1000000,3,F3_10D,ARRDE,6.0,12
cec2022,10,1000000,3,F3_10D,BIPOP-CMA,4.5,9
cec2022,10,1000000,3,F3_10D,LSRTDE,2.0,4
cec2022,10,1000000,3,F3_10D,MSC-CMA,7.0,14
cec2022,10,1000000,3,F3_10D,NLSHADE-RSP,2.0,4
cec2022,10,1000000,3,F3_10D,j2020,2.0,4
cec2022,10,1000000,3,F3_10D,jSO,4.5,9
cec2022,10,1000000,4,F4_10D,ARRDE,3.5,7
cec2022,10,1000000,4,F4_10D,BIPOP-CMA,1.5,3
cec2022,10,1000000,4,F4_10D,LSRTDE,3.5,7
cec2022,10,1000000,4,F4_10D,MSC-CMA,1.5,3
cec2022,10,1000000,4,F4_10D,NLSHADE-RSP,7.0,14
cec2022,10,1000000,4,F4_10D,j2020,6.0,12
cec2022,10,1000000,4,F4_10D,jSO,5.0,10
cec2022,10,1000000,5,F5_10D,ARRDE,3.0,6
cec2022,10,1000000,5,F5_10D,BIPOP-CMA,3.0,6
cec2022,10,1000000,5,F5_10D,LSRTDE,3.0,6
cec2022,10,1000000,5,F5_10D,MSC-CMA,6.5,13
cec2022,10,1000000,5,F5_10D,NLSHADE-RSP,3.0,6
cec2022,10,1000000,5,F5_10D,j2020,6.5,13
cec2022,10,1000000,5,F5_10D,jSO,3.0,6
cec2022,10,1000000,6,F6_10D,ARRDE,2.0,4
cec2022,10,1000000,6,F6_10D,BIPOP-CMA,5.5,11
cec2022,10,1000000,6,F6_10D,LSRTDE,5.5,11
cec2022,10,1000000,6,F6_10D,MSC-CMA,7.0,14
cec2022,10,1000000,6,F6_10D,NLSHADE-RSP,3.5,7
cec2022,10,1000000,6,F6_10D,j2020,3.5,7
cec2022,10,1000000,6,F6_10D,jSO,1.0,2
cec2022,10,1000000,7,F7_10D,ARRDE,2.0,4
cec2022,10,1000000,7,F7_10D,BIPOP-CMA,7.0,14
cec2022,10,1000000,7,F7_10D,LSRTDE,6.0,12
cec2022,10,1000000,7,F7_10D,MSC-CMA,5.0,10
cec2022,10,1000000,7,F7_10D,NLSHADE-RSP,1.0,2
cec2022,10,1000000,7,F7_10D,j2020,3.0,6
cec2022,10,1000000,7,F7_10D,jSO,4.0,8
cec2022,10,1000000,8,F8_10D,ARRDE,3.5,7
cec2022,10,1000000,8,F8_10D,BIPOP-CMA,5.5,11
cec2022,10,1000000,8,F8_10D,LSRTDE,7.0,14
cec2022,10,1000000,8,F8_10D,MSC-CMA,5.5,11
cec2022,10,1000000,8,F8_10D,NLSHADE-RSP,1.5,3
cec2022,10,1000000,8,F8_10D,j2020,3.5,7
cec2022,10,1000000,8,F8_10D,jSO,1.5,3
cec2022,10,1000000,9,F9_10D,ARRDE,1.0,2
cec2022,10,1000000,9,F9_10D,BIPOP-CMA,5.5,11
cec2022,10,1000000,9,F9_10D,LSRTDE,5.5,11
cec2022,10,1000000,9,F9_10D,MSC-CMA,2.0,4
cec2022,10,1000000,9,F9_10D,NLSHADE-RSP,5.5,11
cec2022,10,1000000,9,F9_10D,j2020,3.0,6
cec2022,10,1000000,9,F9_10D,jSO,5.5,11
cec2022,10,1000000,10,F10_10D,ARRDE,3.5,7
cec2022,10,1000000,10,F10_10D,BIPOP-CMA,5.0,10
cec2022,10,1000000,10,F10_10D,LSRTDE,7.0,14
cec2022,10,1000000,10,F10_10D,MSC-CMA,3.5,7
cec2022,10,1000000,10,F10_10D,NLSHADE-RSP,2.0,4
cec2022,10,1000000,10,F10_10D,j2020,1.0,2
cec2022,10,1000000,10,F10_10D,jSO,6.0,12
cec2022,10,1000000,11,F11_10D,ARRDE,4.0,8
cec2022,10,1000000,11,F11_10D,BIPOP-CMA,6.0,12
cec2022,10,1000000,11,F11_10D,LSRTDE,1.5,3
cec2022,10,1000000,11,F11_10D,MSC-CMA,7.0,14
cec2022,10,1000000,11,F11_10D,NLSHADE-RSP,1.5,3
cec2022,10,1000000,11,F11_10D,j2020,5.0,10
cec2022,10,1000000,11,F11_10D,jSO,3.0,6
cec2022,10,1000000,12,F12_10D,ARRDE,2.0,4
cec2022,10,1000000,12,F12_10D,BIPOP-CMA,5.0,10
cec2022,10,1000000,12,F12_10D,LSRTDE,7.0,14
cec2022,10,1000000,12,F12_10D,MSC-CMA,4.0,8
cec2022,10,1000000,12,F12_10D,NLSHADE-RSP,3.0,6
cec2022,10,1000000,12,F12_10D,j2020,1.0,2
cec2022,10,1000000,12,F12_10D,jSO,6.0,12
