suite,dimension,budget,function_id,problem,algorithm,dsc_rank,dsc_rank2
cec2020,5,50000,1,F1_5D,MSC-CMA,3.0,6
cec2020,5,50000,1,F1_5D,NEA2PLUS-PY,2.0,4
cec2020,5,50000,1,F1_5D,BIPOP-CMA,1.0,2
cec2020,5,50000,2,F2_5D,MSC-CMA,2.0,4
cec2020,5,50000,2,F2_5D,NEA2PLUS-PY,2.0,4
cec2020,5,50000,2,F2_5D,BIPOP-CMA,2.0,4
cec2020,5,50000,3,F3_5D,MSC-CMA,1.5,3
cec2020,5,50000,3,F3_5D,NEA2PLUS-PY,1.5,3
cec2020,5,50000,3,F3_5D,BIPOP-CMA,3.0,6
cec2020,5,50000,4,F4_5D,MSC-CMA,3.0,6
cec2020,5,50000,4,F4_5D,NEA2PLUS-PY,1.0,2
cec2020,5,50000,4,F4_5D,BIPOP-CMA,2.0,4
cec2020,5,50000,5,F5_5D,MSC-CMA,1.5,3
cec2020,5,50000,5,F5_5D,NEA2PLUS-PY,3.0,6
cec2020,5,50000,5,F5_5D,BIPOP-CMA,1.5,3
cec2020,5,50000,6,F6_5D,MSC-CMA,3.0,6
cec2020,5,50000,6,F6_5D,NEA2PLUS-PY,2.0,4
cec2020,5,50000,6,F6_5D,BIPOP-CMA,1.0,2
cec2020,5,50000,7,F7_5D,MSC-CMA,2.0,4
cec2020,5,50000,7,F7_5D,NEA2PLUS-PY,3.0,6
cec2020,5,50000,7,F7_5D,BIPOP-CMA,1.0,2
cec2020,5,50000,8,F8_5D,MSC-CMA,1.0,2
cec2020,5,50000,8,F8_5D,NEA2PLUS-PY,3.0,6
cec2020,5,50000,8,F8_5D,BIPOP-CMA,2.0,4
cec2020,5,50000,9,F9_5D,MSC-CMA,1.0,2
cec2020,5,50000,9,F9_5D,NEA2PLUS-PY,2.0,4
cec2020,5,50000,9,F9_5D,BIPOP-CMA,3.0,6
cec2020,5,50000,10,F10_5D,MSC-CMA,1.0,2
cec2020,5,50000,10,F10_5D,NEA2PLUS-PY,2.0,4
cec2020,5,50000,10,F10_5D,BIPOP-CMA,3.0,6
